Local time,Open,High,Low,Close,Volume
23.04.2023 23:00:00.000 GMT+0200,27537,28030,27020,27493,0.2335
24.04.2023 23:00:00.000 GMT+0200,27490,28082,27232,28018,1.1721000000000001
25.04.2023 23:00:00.000 GMT+0200,28018,30055,27287,28455,1.9559000000000002
26.04.2023 23:00:00.000 GMT+0200,28349,29917,28144,29670,1.4535000000000002
27.04.2023 23:00:00.000 GMT+0200,29669,29821,28951,29384,0.2658
28.04.2023 23:00:00.000 GMT+0200,29385,29525,29099,29277,0.0959
29.04.2023 23:00:00.000 GMT+0200,29277,29995,29143,29386,0.22450000000000003
30.04.2023 23:00:00.000 GMT+0200,29386,29541,27705,27712,0.1612
01.05.2023 23:00:00.000 GMT+0200,27723,28927,27723,28732,0.05700000000000001
02.05.2023 23:00:00.000 GMT+0200,28726,28863,28174,28565,0.34419999999999995
03.05.2023 23:00:00.000 GMT+0200,28565,29412,28565,28921,0.5503
04.05.2023 23:00:00.000 GMT+0200,28920,29730,28796,29582,0.2992
05.05.2023 23:00:00.000 GMT+0200,29582,29910,28452,28885,0.2911
06.05.2023 23:00:00.000 GMT+0200,28885,29225,28742,28987,0.22110000000000002
07.05.2023 23:00:00.000 GMT+0200,28987,29022,27325,27594,0.2562
08.05.2023 23:00:00.000 GMT+0200,27594,27865,27408,27693,0.1399
09.05.2023 23:00:00.000 GMT+0200,27693,28363,26862,27918,0.4377
10.05.2023 23:00:00.000 GMT+0200,27919,27919,26765,27042,0.22460000000000002
11.05.2023 23:00:00.000 GMT+0200,27040,27127,25867,26465,0.2592
12.05.2023 23:00:00.000 GMT+0200,26465,27118,26465,26980,0.0312
13.05.2023 23:00:00.000 GMT+0200,26980,27280,26645,26987,0.37829999999999997
14.05.2023 23:00:00.000 GMT+0200,27015,27706,26781,27386,0.20889999999999997
15.05.2023 23:00:00.000 GMT+0200,27386,27423,26901,26993,0.19499999999999998
16.05.2023 23:00:00.000 GMT+0200,26993,27501,26597,27377,0.20340000000000003
17.05.2023 23:00:00.000 GMT+0200,27377,27522,26401,26760,0.1531
18.05.2023 23:00:00.000 GMT+0200,26760,27212,26673,26876,0.0374
19.05.2023 23:00:00.000 GMT+0200,26876,27190,26876,27058,0.0532
20.05.2023 23:00:00.000 GMT+0200,27058,27313,26831,26883,0.16499999999999998
21.05.2023 23:00:00.000 GMT+0200,26883,27119,26576,26933,0.050800000000000005
22.05.2023 23:00:00.000 GMT+0200,26933,27508,26837,27253,0.0519
23.05.2023 23:00:00.000 GMT+0200,27253,27289,26115,26436,0.10279999999999997
24.05.2023 23:00:00.000 GMT+0200,26436,26648,25907,26524,0.04239999999999999
25.05.2023 23:00:00.000 GMT+0200,26524,26980,26369,26795,0.0364
26.05.2023 23:00:00.000 GMT+0200,26795,26887,26602,26796,0.0183
27.05.2023 23:00:00.000 GMT+0200,26796,27782,26778,27601,0.3536
28.05.2023 23:00:00.000 GMT+0200,27601,28487,27572,27723,0.1242
29.05.2023 23:00:00.000 GMT+0200,27723,28089,27601,27810,0.060399999999999995
30.05.2023 23:00:00.000 GMT+0200,27810,27884,26881,27149,0.32560000000000006
31.05.2023 23:00:00.000 GMT+0200,27149,27379,26657,26896,0.1321
01.06.2023 23:00:00.000 GMT+0200,26896,27324,26549,27218,0.14320000000000002
02.06.2023 23:00:00.000 GMT+0200,27218,27368,27070,27098,0.09069999999999999
03.06.2023 23:00:00.000 GMT+0200,27098,27332,26962,27277,0.0383
04.06.2023 23:00:00.000 GMT+0200,27277,27495,25431,25668,0.3094
05.06.2023 23:00:00.000 GMT+0200,25668,27244,25390,26973,0.5265000000000001
06.06.2023 23:00:00.000 GMT+0200,26973,27418,26288,26396,0.5301
07.06.2023 23:00:00.000 GMT+0200,26396,26850,26158,26675,0.41769999999999996
08.06.2023 23:00:00.000 GMT+0200,26675,26813,26316,26480,0.3642000000000001
09.06.2023 23:00:00.000 GMT+0200,26480,26593,25423,25799,0.5304000000000001
10.06.2023 23:00:00.000 GMT+0200,25799,26246,25679,26159,0.2203
11.06.2023 23:00:00.000 GMT+0200,26159,26214,25657,25927,0.44149999999999995
12.06.2023 23:00:00.000 GMT+0200,25927,26463,25752,25882,0.4
13.06.2023 23:00:00.000 GMT+0200,25882,26116,24865,24961,0.2957000000000001
14.06.2023 23:00:00.000 GMT+0200,24923,25622,24795,25596,1.061
15.06.2023 23:00:00.000 GMT+0200,25560,26500,25197,26430,0.9816999999999999
16.06.2023 23:00:00.000 GMT+0200,26430,26836,26227,26569,0.21140000000000006
17.06.2023 23:00:00.000 GMT+0200,26569,26724,26398,26506,0.166
18.06.2023 23:00:00.000 GMT+0200,26506,27078,26293,26755,0.42679999999999996
19.06.2023 23:00:00.000 GMT+0200,26755,28288,26682,28195,0.275
20.06.2023 23:00:00.000 GMT+0200,28195,30809,28131,30020,0.44349999999999995
21.06.2023 23:00:00.000 GMT+0200,30008,30531,29581,30191,0.2039
22.06.2023 23:00:00.000 GMT+0200,30191,31449,29840,30966,0.2308
23.06.2023 23:00:00.000 GMT+0200,30966,31015,30331,30590,0.17119999999999996
24.06.2023 23:00:00.000 GMT+0200,30590,31071,30322,30410,0.10919999999999998
25.06.2023 23:00:00.000 GMT+0200,30410,30688,29966,30192,0.1133
26.06.2023 23:00:00.000 GMT+0200,30192,31033,30149,30687,0.0742
27.06.2023 23:00:00.000 GMT+0200,30687,30769,29888,30137,0.06609999999999999
28.06.2023 23:00:00.000 GMT+0200,30137,30864,30067,30433,0.05059999999999999
29.06.2023 23:00:00.000 GMT+0200,30433,31303,29484,30427,0.12350000000000003
30.06.2023 23:00:00.000 GMT+0200,30427,30690,30376,30624,0.020499999999999997
01.07.2023 23:00:00.000 GMT+0200,30624,30708,30222,30625,0.0357
02.07.2023 23:00:00.000 GMT+0200,30654,31415,30480,31162,0.1302
03.07.2023 23:00:00.000 GMT+0200,31162,31360,30661,30836,0.11839999999999999
04.07.2023 23:00:00.000 GMT+0200,30836,30907,30236,30500,0.12850000000000003
05.07.2023 23:00:00.000 GMT+0200,30500,31539,29931,30344,0.21259999999999998
06.07.2023 23:00:00.000 GMT+0200,30344,30481,29765,30298,0.17789999999999997
07.07.2023 23:00:00.000 GMT+0200,30298,30448,30110,30224,0.032400000000000005
08.07.2023 23:00:00.000 GMT+0200,30224,30469,30165,30233,0.05600000000000001
09.07.2023 23:00:00.000 GMT+0200,30233,31076,29996,30813,0.1557
10.07.2023 23:00:00.000 GMT+0200,30813,30833,30245,30612,0.13899999999999998
11.07.2023 23:00:00.000 GMT+0200,30613,31003,30253,30387,0.12869999999999998
12.07.2023 23:00:00.000 GMT+0200,30381,31861,30292,31410,0.17269999999999996
13.07.2023 23:00:00.000 GMT+0200,31410,31663,29957,30247,0.12789999999999999
14.07.2023 23:00:00.000 GMT+0200,30247,30471,30230,30344,0.14390000000000006
15.07.2023 23:00:00.000 GMT+0200,30339,30480,30109,30310,0.0227
16.07.2023 23:00:00.000 GMT+0200,30310,30407,29707,29961,0.1818
17.07.2023 23:00:00.000 GMT+0200,29961,30319,29570,29815,0.10319999999999997
18.07.2023 23:00:00.000 GMT+0200,29815,30227,29793,29998,0.1265
19.07.2023 23:00:00.000 GMT+0200,29998,30454,29613,29771,0.1338
20.07.2023 23:00:00.000 GMT+0200,29770,30091,29765,29924,0.0787
21.07.2023 23:00:00.000 GMT+0200,29924,30062,29867,29892,0.006999999999999999
22.07.2023 23:00:00.000 GMT+0200,29891,30381,29674,30178,0.04719999999999999
23.07.2023 23:00:00.000 GMT+0200,30207,30209,28900,29181,0.8410999999999997
24.07.2023 23:00:00.000 GMT+0200,29181,29401,29088,29263,0.009699999999999999
25.07.2023 23:00:00.000 GMT+0200,29263,29715,29135,29626,0.0191
26.07.2023 23:00:00.000 GMT+0200,29626,29690,29117,29176,0.014999999999999996
27.07.2023 23:00:00.000 GMT+0200,29176,29567,29157,29385,0.0125
28.07.2023 23:00:00.000 GMT+0200,29385,29471,29315,29419,0.004499999999999999
29.07.2023 23:00:00.000 GMT+0200,29419,29486,29091,29310,0.0165
30.07.2023 23:00:00.000 GMT+0200,29310,29540,29149,29242,0.0156
31.07.2023 23:00:00.000 GMT+0200,29234,29375,28620,29246,0.4739
01.08.2023 23:00:00.000 GMT+0200,29246,30066,28968,29155,0.6000000000000001
02.08.2023 23:00:00.000 GMT+0200,29152,29439,28982,29314,0.0572
03.08.2023 23:00:00.000 GMT+0200,29314,29341,28857,29004,0.1224
04.08.2023 23:00:00.000 GMT+0200,28997,29172,28987,29088,0.020299999999999995
05.08.2023 23:00:00.000 GMT+0200,29088,29184,29018,29157,0.0125
06.08.2023 23:00:00.000 GMT+0200,29157,29225,28723,29218,0.15109999999999998
07.08.2023 23:00:00.000 GMT+0200,29205,30037,29144,30019,0.2765000000000001
08.08.2023 23:00:00.000 GMT+0200,30019,30228,29395,29534,0.12869999999999998
09.08.2023 23:00:00.000 GMT+0200,29534,29741,29363,29449,0.1004
10.08.2023 23:00:00.000 GMT+0200,29449,29563,29271,29433,0.041999999999999996
11.08.2023 23:00:00.000 GMT+0200,29433,29535,29413,29455,0.0245
12.08.2023 23:00:00.000 GMT+0200,29455,29503,29367,29460,0.03799999999999999
13.08.2023 23:00:00.000 GMT+0200,29460,29697,29135,29405,0.1356
14.08.2023 23:00:00.000 GMT+0200,29404,29482,29099,29209,0.0771
15.08.2023 23:00:00.000 GMT+0200,29208,29258,28866,28977,0.2263
16.08.2023 23:00:00.000 GMT+0200,28979,28983,27558,27657,0.28950000000000004
17.08.2023 23:00:00.000 GMT+0200,27657,27725,25430,26157,0.28209999999999996
18.08.2023 23:00:00.000 GMT+0200,26141,26304,25842,26098,0.031799999999999995
19.08.2023 23:00:00.000 GMT+0200,26098,26329,26020,26274,0.021400000000000002
20.08.2023 23:00:00.000 GMT+0200,26274,26282,25863,26144,0.012899999999999995
21.08.2023 23:00:00.000 GMT+0200,26144,26258,25768,25878,0.012799999999999997
22.08.2023 23:00:00.000 GMT+0200,25878,26831,25399,26627,0.030899999999999997
23.08.2023 23:00:00.000 GMT+0200,26627,26656,25901,26043,0.07660000000000003
24.08.2023 23:00:00.000 GMT+0200,26043,26311,25807,26102,0.181
25.08.2023 23:00:00.000 GMT+0200,26102,26170,26037,26083,0.0040999999999999995
26.08.2023 23:00:00.000 GMT+0200,26082,26217,26007,26130,0.009999999999999998
27.08.2023 23:00:00.000 GMT+0200,26130,26259,25897,26017,0.031799999999999995
28.08.2023 23:00:00.000 GMT+0200,26017,28171,25946,27614,0.34619999999999995
29.08.2023 23:00:00.000 GMT+0200,27614,27814,27079,27286,0.031000000000000003
30.08.2023 23:00:00.000 GMT+0200,27286,27583,25970,26062,0.0997
31.08.2023 23:00:00.000 GMT+0200,26033,26168,25375,25818,0.31020000000000003
01.09.2023 23:00:00.000 GMT+0200,25814,26024,25778,25886,0.0237
02.09.2023 23:00:00.000 GMT+0200,25886,26158,25848,26086,0.041100000000000005
03.09.2023 23:00:00.000 GMT+0200,26086,26137,25768,25874,0.1093
04.09.2023 23:00:00.000 GMT+0200,25865,25919,25603,25751,0.39380000000000004
05.09.2023 23:00:00.000 GMT+0200,25743,26081,25429,25719,0.305
06.09.2023 23:00:00.000 GMT+0200,25704,26062,25652,26044,0.2442
07.09.2023 23:00:00.000 GMT+0200,26044,26473,25702,25940,0.3151999999999999
08.09.2023 23:00:00.000 GMT+0200,25940,26004,25855,25921,0.0136
09.09.2023 23:00:00.000 GMT+0200,25921,25976,25635,25860,0.0466
10.09.2023 23:00:00.000 GMT+0200,25860,26031,24960,25100,0.2809
11.09.2023 23:00:00.000 GMT+0200,25100,26558,25096,26116,0.26880000000000004
12.09.2023 23:00:00.000 GMT+0200,26106,26446,25810,26259,0.18880000000000005
13.09.2023 23:00:00.000 GMT+0200,26259,26883,26174,26616,0.1552
14.09.2023 23:00:00.000 GMT+0200,26614,26715,26262,26447,0.10519999999999999
15.09.2023 23:00:00.000 GMT+0200,26447,26939,26447,26579,0.03569999999999999
16.09.2023 23:00:00.000 GMT+0200,26579,26673,26473,26480,0.0398
17.09.2023 23:00:00.000 GMT+0200,26480,27451,26442,26810,0.14940000000000003
18.09.2023 23:00:00.000 GMT+0200,26805,27527,26710,27229,0.1509
19.09.2023 23:00:00.000 GMT+0200,27226,27429,26863,27130,0.13410000000000002
20.09.2023 23:00:00.000 GMT+0200,27131,27277,26415,26639,0.18259999999999998
21.09.2023 23:00:00.000 GMT+0200,26635,26779,26526,26576,0.10450000000000001
22.09.2023 23:00:00.000 GMT+0200,26576,26697,26547,26637,0.020199999999999996
23.09.2023 23:00:00.000 GMT+0200,26633,26766,26395,26539,0.0248
24.09.2023 23:00:00.000 GMT+0200,26539,26580,26040,26322,0.0949
25.09.2023 23:00:00.000 GMT+0200,26322,26434,26127,26183,0.09770000000000001
26.09.2023 23:00:00.000 GMT+0200,26192,26877,26136,26286,0.23259999999999995
27.09.2023 23:00:00.000 GMT+0200,26286,27344,26277,27123,0.272
28.09.2023 23:00:00.000 GMT+0200,27123,27275,26724,26937,0.09739999999999999
29.09.2023 23:00:00.000 GMT+0200,26937,27128,26923,27106,0.018699999999999998
30.09.2023 23:00:00.000 GMT+0200,27106,27321,26991,27149,0.0251
01.10.2023 23:00:00.000 GMT+0200,27149,28622,27133,27876,0.23260000000000003
02.10.2023 23:00:00.000 GMT+0200,27876,27907,27213,27430,0.11040000000000001
