Local time,Open,High,Low,Close,Volume
26.02.2021 23:00:00.000 GMT+0100,45724,47983,45133,47793,0.2455
27.02.2021 03:00:00.000 GMT+0100,47793,48069,47259,47849,0.19130000000000003
27.02.2021 07:00:00.000 GMT+0100,47842,48398,46291,46728,0.2545
27.02.2021 11:00:00.000 GMT+0100,46727,47815,46660,47529,0.3063
27.02.2021 15:00:00.000 GMT+0100,47529,47680,46375,47132,0.284
27.02.2021 19:00:00.000 GMT+0100,47132,47602,46644,46898,0.2362
27.02.2021 23:00:00.000 GMT+0100,46897,46904,45103,46527,0.38620000000000004
28.02.2021 03:00:00.000 GMT+0100,46526,46576,44290,44849,0.4635
28.02.2021 07:00:00.000 GMT+0100,44849,45542,43863,45167,0.45830000000000004
28.02.2021 11:00:00.000 GMT+0100,45168,45560,44255,44258,0.3661
28.02.2021 15:00:00.000 GMT+0100,44258,44676,43084,43223,0.4274
28.02.2021 19:00:00.000 GMT+0100,43223,45484,43177,45289,0.369
28.02.2021 23:00:00.000 GMT+0100,45304,46697,44921,46302,0.3913
01.03.2021 03:00:00.000 GMT+0100,46302,46916,46071,46282,0.2471
01.03.2021 07:00:00.000 GMT+0100,46282,47601,45729,47453,0.27999999999999997
01.03.2021 11:00:00.000 GMT+0100,47453,48546,47046,47926,0.361
01.03.2021 15:00:00.000 GMT+0100,47927,49556,47758,48652,0.41200000000000003
01.03.2021 19:00:00.000 GMT+0100,48654,49009,48047,48905,0.27380000000000004
01.03.2021 23:00:00.000 GMT+0100,48906,50280,48714,49473,0.26439999999999997
02.03.2021 03:00:00.000 GMT+0100,49473,49858,48733,48749,0.2768
02.03.2021 07:00:00.000 GMT+0100,48749,49331,48389,49217,0.22089999999999999
02.03.2021 11:00:00.000 GMT+0100,49217,49330,48631,49062,0.2317
02.03.2021 15:00:00.000 GMT+0100,49064,49768,47284,47940,0.321
02.03.2021 19:00:00.000 GMT+0100,47942,48109,47124,47494,0.2819
02.03.2021 23:00:00.000 GMT+0100,47493,48939,47422,48923,0.21230000000000002
03.03.2021 03:00:00.000 GMT+0100,48923,49509,48578,49136,0.179
03.03.2021 07:00:00.000 GMT+0100,49134,51554,49134,51526,0.24609999999999999
03.03.2021 11:00:00.000 GMT+0100,51528,52676,51247,51600,0.3556
03.03.2021 15:00:00.000 GMT+0100,51600,51600,50567,51412,0.3178
03.03.2021 19:00:00.000 GMT+0100,51392,51693,50353,50986,0.2697
03.03.2021 23:00:00.000 GMT+0100,50986,51690,49985,51569,0.2671
04.03.2021 03:00:00.000 GMT+0100,51569,51834,49063,49744,0.3199
04.03.2021 07:00:00.000 GMT+0100,49744,50774,48606,49139,0.3138
04.03.2021 11:00:00.000 GMT+0100,49140,49812,48807,49691,0.33940000000000003
04.03.2021 15:00:00.000 GMT+0100,49701,50602,48360,48504,0.35
04.03.2021 19:00:00.000 GMT+0100,48502,48633,47542,47968,0.32820000000000005
04.03.2021 23:00:00.000 GMT+0100,47975,48722,46326,46742,0.3186
05.03.2021 03:00:00.000 GMT+0100,46742,47390,46417,47188,0.2823
05.03.2021 07:00:00.000 GMT+0100,47188,47595,46491,47087,0.2446
05.03.2021 11:00:00.000 GMT+0100,47087,48377,46829,48131,0.2929
05.03.2021 15:00:00.000 GMT+0100,48139,48783,46958,48131,0.36569999999999997
05.03.2021 19:00:00.000 GMT+0100,48132,49503,47999,49105,0.2723
05.03.2021 23:00:00.000 GMT+0100,49105,49434,48606,48703,0.1713
06.03.2021 03:00:00.000 GMT+0100,48703,48894,48169,48545,0.1321
06.03.2021 07:00:00.000 GMT+0100,48548,49164,48339,48380,0.1544
06.03.2021 11:00:00.000 GMT+0100,48380,48535,47143,47384,0.2599
06.03.2021 15:00:00.000 GMT+0100,47382,48505,47202,48338,0.27730000000000005
06.03.2021 19:00:00.000 GMT+0100,48336,48791,48210,48646,0.2651
06.03.2021 23:00:00.000 GMT+0100,48646,49547,48561,49202,0.2505
07.03.2021 03:00:00.000 GMT+0100,49202,49959,49173,49415,0.2434
07.03.2021 07:00:00.000 GMT+0100,49415,51199,49222,51013,0.2612
07.03.2021 11:00:00.000 GMT+0100,51013,51051,50485,50850,0.2275
07.03.2021 15:00:00.000 GMT+0100,50850,51398,50219,51101,0.24309999999999998
07.03.2021 19:00:00.000 GMT+0100,51102,51103,49830,50158,0.22540000000000002
07.03.2021 23:00:00.000 GMT+0100,50138,51870,50068,51611,0.2384
08.03.2021 03:00:00.000 GMT+0100,51611,51628,50200,50852,0.3121
08.03.2021 07:00:00.000 GMT+0100,50852,51013,49374,49949,0.3076
08.03.2021 11:00:00.000 GMT+0100,49949,51086,49763,51053,0.24760000000000001
08.03.2021 15:00:00.000 GMT+0100,51054,51299,50231,50862,0.27680000000000005
08.03.2021 19:00:00.000 GMT+0100,50863,52023,50809,51930,0.2183
08.03.2021 23:00:00.000 GMT+0100,51930,53775,51478,53598,0.2532
09.03.2021 03:00:00.000 GMT+0100,53598,54436,53318,54324,0.2799
09.03.2021 07:00:00.000 GMT+0100,54324,54518,53358,54173,0.2561
09.03.2021 11:00:00.000 GMT+0100,54173,54861,53610,54851,0.2427
09.03.2021 15:00:00.000 GMT+0100,54852,54852,53836,53860,0.2225
09.03.2021 19:00:00.000 GMT+0100,53860,54628,53699,54363,0.2031
09.03.2021 23:00:00.000 GMT+0100,54361,55866,54238,54774,0.2559
10.03.2021 03:00:00.000 GMT+0100,54774,54774,53083,53717,0.2713
